Pincode,QWIK GNG.,Del Serv.,Shadowfax Serv.,Bluedart Serv,Qwik HD.,Del HD.,City,State,Zone,GNG P1,HD P1
124105,Active,Active,InActive,Active,Active,Active,JHAJJAR,Haryana,NORTH,SJ93,SJ93
124106,Active,Active,InActive,Active,Active,Active,JHAJJAR,Haryana,NORTH,SJ93,SJ93
124107,Active,Active,InActive,Active,Active,Active,JHAJJAR,Haryana,NORTH,SJ93,SJ93
124108,Active,Active,InActive,Active,Active,Active,JHAJJAR,Haryana,NORTH,SJ93,SJ93
124109,Active,Active,InActive,Active,Active,Active,JHAJJAR,Haryana,NORTH,SJ93,SJ93
124111,InActive,Active,InActive,Active,Active,Active,MAHAM,Haryana,NORTH,SJ93,SJ93
124112,Active,Active,InActive,Active,Active,Active,MAHAM,Haryana,NORTH,SJ93,SJ93
124113,InActive,Active,InActive,InActive,Active,Active,ROHTAK,Haryana,NORTH,SJ93,SJ93
124141,Active,Active,InActive,InActive,Active,Active,CHARKHI DADRI,Haryana,NORTH,SJ93,SJ93
124142,Active,Active,InActive,InActive,Active,Active,CHARKHI DADRI,Haryana,NORTH,SJ93,SJ93
124146,Active,Active,InActive,Active,Active,Active,KOSLI,Haryana,NORTH,SJ93,SJ93
124201,Active,Active,InActive,Active,Active,Active,JHAJJAR,Haryana,NORTH,SJ93,SJ93
124202,Active,Active,InActive,InActive,Active,Active,JHAJJAR,Haryana,NORTH,SJ93,SJ93
124303,InActive,Active,InActive,Active,Active,Active,ROHTAK,Haryana,NORTH,SJ93,SJ93
124401,InActive,Active,InActive,Active,InActive,Active,ROHTAK,Haryana,NORTH,SJ93,SJ93
124404,Active,Active,InActive,InActive,Active,Active,BAHADURGARH,Haryana,NORTH,SJ93,SJ93
124406,InActive,Active,InActive,InActive,InActive,Active,KHARKHODA,Haryana,NORTH,SJ93,SJ93
124411,InActive,Active,InActive,InActive,Active,Active,ROHTAK,Haryana,NORTH,SJ93,SJ93
124412,InActive,Active,InActive,Active,InActive,Active,ROHTAK,Haryana,NORTH,SJ93,SJ93
124501,Active,Active,InActive,Active,Active,Active,BAHADURGARH,Haryana,NORTH,SJ93,SJ93
124504,Active,Active,InActive,InActive,Active,Active,JHAJJAR,Haryana,NORTH,SJ93,SJ93
124505,Active,Active,Not active/Embargo,Active,Active,Active,BAHADURGARH,Haryana,NORTH,SJ93,SJ93
124506,Active,Active,Not active/Embargo,Active,Active,Active,BAHADURGARH,Haryana,NORTH,SJ93,SJ93
124507,Active,Active,Not active/Embargo,Active,Active,Active,BAHADURGARH,Haryana,NORTH,SJ93,SJ93
124508,Active,Active,Not active/Embargo,Active,Active,Active,BAHADURGARH,Haryana,NORTH,SJ93,SJ93
124513,Active,Active,InActive,InActive,Active,Active,MAHAM,Haryana,NORTH,SJ93,SJ93
124514,InActive,Active,InActive,Active,Active,Active,MAHAM,Haryana,NORTH,SJ93,SJ93
